h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
7,-1.40706374825438,0.50241032138244,-2.23345518759814,-0.580672308910617,130,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
8,-0.946010675528166,0.505698199081236,-1.77781019242977,-0.114211158626566,129,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
9,-0.623682234397944,0.435034454061079,-1.33925023400916,0.0918857652132752,128,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
10,0.104813683717295,0.499004602082721,-0.715975845883944,0.925603213318534,127,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
11,0.671850812414634,0.409655758499381,-0.00197294775462986,1.3456745725839,126,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
12,0.795802055567449,0.357021087456197,0.208554624966964,1.38304948616793,125,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
0,0.0500966399432431,0.0955501751926697,-0.107069412278268,0.207262692164754,137,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
1,-0.210196944450462,0.133193451850079,-0.429280676812251,0.00888678791132566,136,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
2,-0.256227484426005,0.148047909305969,-0.49974462501051,-0.0127103438414996,135,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
3,0.0858437531347959,0.274006520035553,-0.364856865154035,0.536544371423626,134,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
4,0.111321144038613,0.317354249711229,-0.410680144627364,0.633322432704591,133,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
5,0.174259685813442,0.296359180857373,-0.313207787700176,0.66172715932706,132,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
6,0.403300337800236,0.306005328626582,-0.100033636857675,0.906634312458147,131,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
7,0.594373117529662,0.277500611061878,0.137925230943283,1.05082100411604,130,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
8,0.580243578881574,0.211529756651752,0.232308091444778,0.92817906631837,129,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
9,0.587866502802276,0.157611449867554,0.32861873783855,0.847114267766003,128,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
10,0.513125423126093,0.215950429259443,0.15791857631697,0.868332269935215,127,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
11,0.37448114647285,0.247549611074809,-0.0327017291539753,0.781664022099676,126,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
12,0.0626232553255129,0.245982321602017,-0.341981658527508,0.467228169178534,125,Russia,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
0,1.49881597793923,1.21434625124447,-0.498605857795159,3.49623781367363,137,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
1,2.69510999814151,1.6810586703942,-0.0699854529746209,5.46020544925763,136,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
2,3.79530624368522,1.90445097918648,0.662763143219057,6.92784934415139,135,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
3,5.69199423692167,2.06293837545807,2.29876256787208,9.08522590597126,134,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
4,8.71288158118419,1.9868626866343,5.44478328481921,11.9809798775492,133,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
5,8.73904385970418,2.22274609078196,5.08295189048927,12.3951358289191,132,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
6,11.075139942522,2.80543890786253,6.46060357973356,15.6896763053105,131,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
7,11.084663457237,2.96675798816452,6.2047808201173,15.9645460943566,130,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
8,7.29622868749045,2.47442308053851,3.22616490885425,11.3662924661266,129,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
9,7.81050045340547,2.34700404980369,3.95002232961607,11.6709785771949,128,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
10,6.53662675582782,2.200439891213,2.91722521987742,10.1560282917782,127,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
11,2.22653290693205,2.72961330785439,-2.26328144266725,6.71634725653134,126,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
12,3.50133828420387,3.1523224653077,-1.68377075617812,8.68644732458585,125,China,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
0,1.39698854202111,1.20560316211422,-0.586052191846631,3.38002927588885,137,China,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
1,2.82814791889613,1.63999617310253,0.130594265381907,5.52570157241036,136,China,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
2,3.15748928290018,1.83399525794095,0.140835531064216,6.17414303473615,135,China,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
